Site_ID 650
Computation_type 2
Mean -8.08076 -3.02636
Standard_Deviation 6.79533 5.04466
Correction_Coefficient 0.764286 0.875492
Reflection_count 2
Transmission_count 1
Diffraction_count 0
RT_BeamNum 0
RT_Radius 1

    ID              X              Y              Z            PCI      Real(dBm)      Sium(dBm)              
    0   801038.60   348278.96        1.50    2    -88.6756    -86.9405           
    1   801045.59   348290.97        1.50    2    -85.7766    -86.4998           
    2   801050.21   348304.18        1.50    2    -86.8647    -86.0311           
    3   801056.29   348316.80        1.50    2    -87.1678    -85.5499           
    4   801060.18   348330.08        1.50    2    -86.7331    -85.0516           
    5   800958.07   348427.87        1.50    2    -88.3979    -81.5968           
    6   800986.94   348458.26        1.50    2    -85.1408    -74.7462           
    7   800997.85   348467.08        1.50    2    -84.1150    -75.3008           
    8   801008.33   348476.38        1.50    2    -82.8003    -76.4034           
    9   801018.76   348485.73        1.50    2    -84.4010    -76.6657           
   10   801079.34   348543.95        1.50    2    -75.5505    -68.2094           
   11   801090.70   348552.17        1.50    2    -74.8411    -59.4131           
   12   801135.52   348551.99        1.50    2    -64.5105    -67.8053           
   13   801132.47   348538.36        1.50    2    -66.7091    -70.3692           
   14   801127.30   348525.33        1.50    2    -68.7427    -70.1585           
   15   801121.20   348512.73        1.50    2    -70.1422    -70.8300           
   16   801103.15   348475.06        1.50    2    -75.4164    -70.8362           
   17   801082.54   348438.74        1.50    2    -79.7589    -74.1087           
   18   801078.31   348425.53        1.50    2    -81.8475    -75.4227           
   19   801075.53   348411.83        1.50    2    -78.5002    -77.5812           
   20   801059.89   348331.31        1.50    2    -88.4721    -85.0114           
   21   801053.85   348318.46        1.50    2    -86.5231    -85.5196           
   22   801048.37   348305.04        1.50    2    -90.9615    -86.0225           
   23   801042.89   348291.62        1.50    2    -91.0615    -86.5074           
   24   801037.40   348278.20        1.50    2    -89.7025    -86.9757           
   25   801162.12   348206.83        1.50    2    -89.2988    -90.0394           
   26   801170.12   348195.53        1.50    2    -87.6266    -90.2322           
   27   801036.44   348267.32        1.50    2    -91.6323    -87.3087           
   28   801036.03   348279.61        1.50    2    -89.0581    -86.9474           
   29   801042.02   348292.28        1.50    2    -84.6931    -86.4959           
   30   801047.70   348305.05        1.50    2    -88.0629    -86.0292           
   31   801053.86   348317.62        1.50    2    -88.4579    -85.5478           
   32   801059.91   348330.28        1.50    2    -87.9396    -85.0475           
