[ID] [name of material]  [Thickness]   [Color: Red]  [Color: Green]  [Color: Blue]   [Frequency (in MHz)]  [Dielectrictity (relative)]   [Permeability (relative)]   [Conductivity (in S/m)]   [Transmission Loss (in dB)]   [Reflection Loss (in dB)] 
0  "Plastic (Bakelite); thickness: 0.05 m." 44 137 154 900 4.25 1 0.007 1.37 9.2
1  "Brick; thickness: 0.1 m." 193 0 0 900 4 1 0.005 1.43 9.54
1  "Brick; thickness: 0.1 m." 193 0 0 1800 4 1 0.04 4.3 9.52
1  "Brick; thickness: 0.1 m." 193 0 0 2000 4 1 0.044 4.66 9.52
1  "Brick; thickness: 0.1 m." 193 0 0 3500 4 1 0.078 7.39 9.52
1  "Brick; thickness: 0.1 m." 193 0 0 5000 4 1 0.111 10.11 9.52
2  "Brick; thickness: 0.2 m." 193 0 0 900 4 1 0.005 1.84 9.54
2  "Brick; thickness: 0.2 m." 193 0 0 1800 4 1 0.04 7.57 9.52
2  "Brick; thickness: 0.2 m." 193 0 0 2000 4 1 0.044 8.3 9.52
2  "Brick; thickness: 0.2 m." 193 0 0 3500 4 1 0.078 13.75 9.52
2  "Brick; thickness: 0.2 m." 193 0 0 5000 4 1 0.111 19.2 9.52
3  "Brick; thickness: 0.3 m." 193 0 0 900 4 1 0.005 2.25 9.54
3  "Brick; thickness: 0.3 m." 193 0 0 1800 4 1 0.04 10.84 9.52
3  "Brick; thickness: 0.3 m." 193 0 0 2000 4 1 0.044 11.93 9.52
3  "Brick; thickness: 0.3 m." 193 0 0 3500 4 1 0.078 20.11 9.52
3  "Brick; thickness: 0.3 m." 193 0 0 5000 4 1 0.111 28.3 9.52
4  "Cement; thickness: 0.1 m." 192 192 192 900 3.35 1 0.001 0.83 10.65
4  "Cement; thickness: 0.1 m." 192 192 192 1800 3.35 1 0.001 0.87 10.65
4  "Cement; thickness: 0.1 m." 192 192 192 2000 3.35 1 0.001 0.88 10.65
4  "Cement; thickness: 0.1 m." 192 192 192 5000 3.35 1 0.003 1.03 10.65
