ID,X,Y,Z,PCI,RSRP(dBm)
31881306,800587.63,348047,1.5,2,-107.0817
31881307,800600.48,348041.44,1.5,2,-104.129
31881308,800613.03,348035.23,1.5,2,-104.1263
31881309,800625.21,348028.29,1.5,2,-103.3315
31881310,800637.36,348021.3,1.5,2,-104.2783
31881311,800649.23,348013.86,1.5,2,-100.9865
31881312,800661.16,348006.52,1.5,2,-101.2485
31881313,800672.74,347998.57,1.5,2,-103.923
31881314,800684.84,347991.5,1.5,2,-101.505
31881315,800696.75,347984.08,1.5,2,-98.9529
31881316,800708.68,347976.69,1.5,2,-97.91035
31881317,800720.5,347969.17,1.5,2,-96.88264
31881318,800732.37,347961.69,1.5,2,-95.08217
31881319,800744.02,347953.93,1.5,2,-91.77023
31881320,800755.87,347946.41,1.5,2,-91.97069
31881321,800767.9,347939.24,1.5,2,-90.95758
31881322,800780.06,347932.31,1.5,2,-91.27013
31881323,800792.36,347925.51,1.5,2,-91.83946
31881324,800804.51,347918.57,1.5,2,-93.42046
31881325,800816.44,347911.11,1.5,2,-94.59417
31881326,800828.48,347903.95,1.5,2,-97.23733
31881327,800840.75,347897.2,1.5,2,-96.63073
31881328,800853.07,347890.53,1.5,2,-97.14571
31881329,800865.32,347883.66,1.5,2,-99.44299
31881330,801808.47,348249.32,1.5,2,-108.7248
31881331,801794.76,348247.67,1.5,2,-109.7329
31881332,801781.24,348246.85,1.5,2,-108.2539
31881333,801767.34,348247.78,1.5,2,-108.2535
31881334,801753.99,348244.54,1.5,2,-107.0035
31881335,801740.72,348246.05,1.5,2,-105.3739
31881336,801727.2,348246.58,1.5,2,-102.3785
31881337,801718.43,348253.72,1.5,2,-102.6529
31881338,801712.97,348262.69,1.5,2,-105.1822
31881339,801694.13,348330.01,1.5,2,-99.73523
31881340,801689.63,348342.2,1.5,2,-99.96848
31881341,801681.18,348352.05,1.5,2,-98.96235
31881342,801667.22,348351.36,1.5,2,-97.63442
31881343,801653.3,348350.16,1.5,2,-98.33377
31881344,801639.45,348351.71,1.5,2,-101.3631
31881345,801629.49,348356.12,1.5,2,-94.20258
31881346,801616.9,348356.95,1.5,2,-96.61253
31881347,801603.88,348353.41,1.5,2,-95.79401
31881348,801591.01,348357.6,1.5,2,-102.6394
31881349,801578.17,348361.37,1.5,2,-98.83054
31881350,801564.45,348362.46,1.5,2,-99.39438
31881351,801551.31,348366.97,1.5,2,-96.53101
31881352,801537.65,348368.03,1.5,2,-95.11411
31881353,801526.47,348373.46,1.5,2,-96.90864
31881354,801512.63,348372.39,1.5,2,-95.86787
31881355,801499.43,348368.89,1.5,2,-94.4742
31881356,801487.64,348362.48,1.5,2,-93.41812
31881357,801434.15,348325.22,1.5,2,-95.08736
31881358,801434.49,348312.53,1.5,2,-96.14668
31881359,801449.68,348277.35,1.5,2,-100.7058
31881360,801452.56,348266.75,1.5,2,-98.76212
31881361,801458.46,348254.3,1.5,2,-100.2847
31881362,801466.34,348242.72,1.5,2,-102.986
